model,subj,a_0,b_0,p_0,h_0,a_opt,b_opt,p_opt,h_opt,nll
simple-hierarchical,1,0.25,1.0,0.05,NA,0.17970114925455186,0.06719989074391017,0.05,NA,225.47704432885996
simple-hierarchical,1,0.5,0.1,0.05,NA,0.17970086562317875,0.06719932169784229,0.05,NA,225.47704433149846
simple-hierarchical,1,0.5,1.0,0.05,NA,0.1797013710560289,0.06719997009999508,0.05,NA,225.47704432884626
simple-hierarchical,1,0.75,0.1,0.05,NA,0.689183971811333,0.1720396742832356,0.05,NA,271.0619939643009
simple-hierarchical,1,0.75,1.0,0.05,NA,0.17970108868396092,0.06719987075876603,0.05,NA,225.47704432886454
simple-hierarchical,2,0.25,0.1,0.05,NA,0.4460476802516212,0.1775071716677698,0.05,NA,399.2510541526424
simple-hierarchical,2,0.25,1.0,0.05,NA,0.4460477918320714,0.17750719332006562,0.05,NA,399.2510541526414
simple-hierarchical,2,0.5,0.1,0.05,NA,0.4460493680926895,0.17750732120688678,0.05,NA,399.25105415299885
simple-hierarchical,2,0.5,1.0,0.05,NA,0.4460476709199272,0.17750716226709196,0.05,NA,399.2510541526434
simple-hierarchical,2,0.75,0.1,0.05,NA,0.44604632996042193,0.17750722899427882,0.05,NA,399.2510541532793
simple-hierarchical,2,0.75,1.0,0.05,NA,0.44604749728705934,0.1775071671818304,0.05,NA,399.2510541526521
simple-hierarchical,3,0.25,0.1,0.05,NA,0.42870120325183414,0.20073215927038196,0.05,NA,597.6042874681614
simple-hierarchical,3,0.25,1.0,0.05,NA,0.4480702943162453,0.20388284224044642,0.05,NA,597.5129188679813
simple-hierarchical,3,0.5,0.1,0.05,NA,0.44807123181309155,0.20388300634591552,0.05,NA,597.5129188676832
simple-hierarchical,3,0.5,1.0,0.05,NA,0.44807104632527545,0.20388297210451944,0.05,NA,597.5129188676907
simple-hierarchical,3,0.75,0.1,0.05,NA,0.4287014015773098,0.20073218710696497,0.05,NA,597.6042874681788
simple-hierarchical,3,0.75,1.0,0.05,NA,0.4287014800131898,0.20073213415273164,0.05,NA,597.6042874682187
simple-hierarchical,4,0.25,0.1,0.05,NA,0.45136110465837126,0.1446357746930095,0.05,NA,293.3658782398983
simple-hierarchical,4,0.25,1.0,0.05,NA,0.4513611916956228,0.14463577496499433,0.05,NA,293.36587823989754
simple-hierarchical,4,0.5,0.1,0.05,NA,0.4513611816242085,0.1446357771310047,0.05,NA,293.3658782398971
simple-hierarchical,4,0.5,1.0,0.05,NA,0.45136144606132295,0.14463583544471612,0.05,NA,293.3658782398987
simple-hierarchical,4,0.75,0.1,0.05,NA,0.45136102073267353,0.14463574362410603,0.05,NA,293.3658782399046
simple-hierarchical,4,0.75,1.0,0.05,NA,0.45136090374572846,0.14463583061656496,0.05,NA,293.36587823995103
simple-hierarchical,5,0.25,0.1,0.05,NA,0.5176741782102798,0.22401087143643975,0.05,NA,537.5900214115507
simple-hierarchical,5,0.25,1.0,0.05,NA,0.5176737032604743,0.22401094631580806,0.05,NA,537.5900214113929
simple-hierarchical,5,0.5,0.1,0.05,NA,0.5176736045339715,0.22401089984284722,0.05,NA,537.5900214114035
simple-hierarchical,5,0.5,1.0,0.05,NA,0.5176738673549366,0.22401096740508566,0.05,NA,537.5900214113979
simple-hierarchical,5,0.75,0.1,0.05,NA,0.5176736087326902,0.2240108708552086,0.05,NA,537.5900214114187
simple-hierarchical,5,0.75,1.0,0.05,NA,0.5176736937719448,0.22401094441100952,0.05,NA,537.5900214113929
simple-hierarchical,6,0.25,0.1,0.05,NA,0.3020200041718496,0.12092693997279533,0.05,NA,279.13799413482167
simple-hierarchical,6,0.25,1.0,0.05,NA,0.3020200680519782,0.12092695670855894,0.05,NA,279.1379941348212
simple-hierarchical,6,0.5,0.1,0.05,NA,0.3020198971150139,0.12092690993069759,0.05,NA,279.1379941348245
simple-hierarchical,6,0.5,1.0,0.05,NA,0.30201987648686623,0.12092689971172926,0.05,NA,279.1379941348252
simple-hierarchical,6,0.75,0.1,0.05,NA,0.30201984738902193,0.12092688637487767,0.05,NA,279.13799413482707
simple-hierarchical,6,0.75,1.0,0.05,NA,0.30201990799237605,0.12092690550862337,0.05,NA,279.1379941348247
simple-hierarchical,7,0.25,0.1,0.05,NA,0.5464746574077172,0.23249157693624967,0.05,NA,763.7192690033689
simple-hierarchical,7,0.25,1.0,0.05,NA,0.5460284989936639,0.23241309666403415,0.05,NA,763.7193612127267
simple-hierarchical,7,0.5,0.1,0.05,NA,0.546474673942701,0.23249187557385487,0.05,NA,763.7192690041858
simple-hierarchical,7,0.5,1.0,0.05,NA,0.5460310761688218,0.23241335218913178,0.05,NA,763.7193612087242
simple-hierarchical,7,0.75,0.1,0.05,NA,0.5464745295206865,0.23249153235788605,0.05,NA,763.7192690033291
simple-hierarchical,7,0.75,1.0,0.05,NA,0.5464745578028356,0.23249132311029808,0.05,NA,763.7192690034029
simple-hierarchical,8,0.25,0.1,0.05,NA,0.269551523767498,0.13447448818089008,0.05,NA,404.80430644176533
simple-hierarchical,8,0.25,1.0,0.05,NA,0.5112232373195256,0.18575754515096735,0.05,NA,402.61551865244286
simple-hierarchical,8,0.5,0.1,0.05,NA,0.5112241024265639,0.18575740190330392,0.05,NA,402.61551865287674
simple-hierarchical,8,0.5,1.0,0.05,NA,0.5112241248597539,0.18575760832646437,0.05,NA,402.61551865254603
simple-hierarchical,8,0.75,0.1,0.05,NA,0.511223359294967,0.18575755678261197,0.05,NA,402.6155186524404
simple-hierarchical,8,0.75,1.0,0.05,NA,0.5112235436833169,0.1857575586201953,0.05,NA,402.61551865244905
simple-hierarchical,9,0.25,0.1,0.05,NA,0.45148254006833927,0.12597898102583074,0.05,NA,207.0432375256795
simple-hierarchical,9,0.25,1.0,0.05,NA,0.4514760805598839,0.12597773699086603,0.05,NA,207.04323752736
simple-hierarchical,9,0.5,0.1,0.05,NA,0.45148031547410183,0.12597858272016169,0.05,NA,207.04323752592046
simple-hierarchical,9,0.5,1.0,0.05,NA,0.45147870853163746,0.12597818386011064,0.05,NA,207.04323752639075
simple-hierarchical,9,0.75,0.1,0.05,NA,0.4514859953812326,0.12598038251270088,0.05,NA,207.0432375284944
simple-hierarchical,9,0.75,1.0,0.05,NA,0.4514842533018984,0.1259792900321877,0.05,NA,207.04323752571509
simple-hierarchical,10,0.25,0.1,0.05,NA,0.279683788125574,0.18762729849296275,0.05,NA,809.3553360318715
simple-hierarchical,10,0.25,1.0,0.05,NA,0.27967220941408194,0.18762202872190245,0.05,NA,809.3553359940397
simple-hierarchical,10,0.5,0.1,0.05,NA,0.27967215106718496,0.18762210122319534,0.05,NA,809.3553359939712
simple-hierarchical,10,0.5,1.0,0.05,NA,0.2796723758264381,0.1876220891163287,0.05,NA,809.3553359940412
simple-hierarchical,10,0.75,0.1,0.05,NA,0.2796727181182578,0.18762244820846102,0.05,NA,809.3553359941222
simple-hierarchical,10,0.75,1.0,0.05,NA,0.2796720871270064,0.18762208406515996,0.05,NA,809.3553359939765
simple-hierarchical,11,0.25,0.1,0.05,NA,0.3897717721236165,0.14611114802451441,0.05,NA,367.897084612091
simple-hierarchical,11,0.25,1.0,0.05,NA,0.3897719763233855,0.1461111909821828,0.05,NA,367.8970846120958
simple-hierarchical,11,0.5,0.1,0.05,NA,0.38977173188604447,0.1461111301019393,0.05,NA,367.89708461209096
simple-hierarchical,11,0.5,1.0,0.05,NA,0.38977178438097787,0.1461111565511088,0.05,NA,367.89708461209096
simple-hierarchical,11,0.75,0.1,0.05,NA,0.38977189629317843,0.1461111898399108,0.05,NA,367.897084612094
simple-hierarchical,11,0.75,1.0,0.05,NA,0.38977164095478656,0.1461111129752128,0.05,NA,367.89708461209364
simple-hierarchical,12,0.25,0.1,0.05,NA,0.40255328147380387,0.16784535374823978,0.05,NA,363.0265863473415
simple-hierarchical,12,0.25,1.0,0.05,NA,0.40255238182684555,0.1678450580764168,0.05,NA,363.0265863470308
simple-hierarchical,12,0.5,0.1,0.05,NA,0.40255263334521396,0.16784520120739727,0.05,NA,363.02658634709485
simple-hierarchical,12,0.5,1.0,0.05,NA,0.40255241159573946,0.16784506948012287,0.05,NA,363.0265863470308
simple-hierarchical,12,0.75,0.1,0.05,NA,0.40255324018215793,0.16784529459242903,0.05,NA,363.0265863472647
simple-hierarchical,12,0.75,1.0,0.05,NA,0.4025522038519182,0.16784502141565907,0.05,NA,363.0265863470416
