model,subj,a_0,b_0,p_0,h_0,a_opt,b_opt,p_opt,h_opt,nll
simple-hierarchical,6,0.25,1.0,0.05,NA,0.3704920786005836,0.08300899819318888,0.05,NA,110.69323350221724
simple-hierarchical,6,0.5,0.1,0.05,NA,0.37049653103742275,0.08301025368042217,0.05,NA,110.69323350271588
simple-hierarchical,6,0.5,1.0,0.05,NA,0.3704869636116878,0.08300822731926477,0.05,NA,110.69323350266572
simple-hierarchical,6,0.75,0.1,0.05,NA,0.37049599536154054,0.0830098194496364,0.05,NA,110.6932335022995
simple-hierarchical,6,0.75,1.0,0.05,NA,0.3704927337689869,0.08300909285644717,0.05,NA,110.69323350221681
simple-hierarchical,7,0.25,0.1,0.05,NA,0.5707892413669442,0.21687147739100734,0.05,NA,412.10451921515096
simple-hierarchical,7,0.25,1.0,0.05,NA,0.570784313217031,0.21686618698796284,0.05,NA,412.10451930744364
simple-hierarchical,7,0.5,0.1,0.05,NA,0.5707896507254652,0.21687201835341266,0.05,NA,412.1045192142749
simple-hierarchical,7,0.5,1.0,0.05,NA,0.5707596952607894,0.2168689839695289,0.05,NA,412.10451948976765
simple-hierarchical,7,0.75,0.1,0.05,NA,0.5707903956727683,0.21687208340561612,0.05,NA,412.10451921445673
simple-hierarchical,7,0.75,1.0,0.05,NA,0.570789604736226,0.21687202029595815,0.05,NA,412.10451921427494
simple-hierarchical,8,0.25,0.1,0.05,NA,0.4204898511010506,0.0888645519281406,0.05,NA,90.36733567957651
simple-hierarchical,8,0.25,1.0,0.05,NA,0.420488037948057,0.0888642585487697,0.05,NA,90.36733567961046
simple-hierarchical,8,0.5,0.1,0.05,NA,0.42048969581254275,0.08886438999549821,0.05,NA,90.36733567964272
simple-hierarchical,8,0.5,1.0,0.05,NA,0.4204900800607927,0.08886461326465814,0.05,NA,90.36733567957663
simple-hierarchical,8,0.75,0.1,0.05,NA,0.42049016765757796,0.08886462608219195,0.05,NA,90.3673356795779
simple-hierarchical,8,0.75,1.0,0.05,NA,0.42048908310588334,0.08886442632123334,0.05,NA,90.36733567957873
simple-hierarchical,9,0.25,0.1,0.05,NA,1.0,0.01,0.05,NA,78.4434144389302
simple-hierarchical,9,0.25,1.0,0.05,NA,1.0,0.01,0.05,NA,78.4434144389302
simple-hierarchical,9,0.5,0.1,0.05,NA,1.0,0.01,0.05,NA,78.4434144389302
simple-hierarchical,9,0.5,1.0,0.05,NA,1.0,0.01,0.05,NA,78.4434144389302
simple-hierarchical,9,0.75,0.1,0.05,NA,1.0,0.042089626969690784,0.05,NA,78.44341453262396
simple-hierarchical,9,0.75,1.0,0.05,NA,1.0,0.01,0.05,NA,78.4434144389302
simple-hierarchical,10,0.25,0.1,0.05,NA,0.24998539120194507,0.10045886029489086,0.05,NA,246.51113397153432
simple-hierarchical,10,0.25,1.0,0.05,NA,0.2502498430038852,0.10055218022589374,0.05,NA,246.51113143853956
simple-hierarchical,10,0.5,0.1,0.05,NA,0.25024729733361806,0.10055125284456626,0.05,NA,246.51113143886775
simple-hierarchical,10,0.5,1.0,0.05,NA,0.2502496346441522,0.10055210331282739,0.05,NA,246.5111314385483
simple-hierarchical,10,0.75,0.1,0.05,NA,0.25024977476107413,0.10055217285163898,0.05,NA,246.51113143854283
simple-hierarchical,10,0.75,1.0,0.05,NA,0.25024973487100144,0.10055214286907525,0.05,NA,246.51113143854357
simple-hierarchical,11,0.25,0.1,0.05,NA,0.4901353160153074,0.13054103205875325,0.05,NA,169.82147793760825
simple-hierarchical,11,0.25,1.0,0.05,NA,0.49013572074324424,0.13054123328019523,0.05,NA,169.8214779376787
simple-hierarchical,11,0.5,0.1,0.05,NA,0.49013466373368064,0.1305408789565894,0.05,NA,169.82147793764852
simple-hierarchical,11,0.5,1.0,0.05,NA,0.49013536895319176,0.13054105595309673,0.05,NA,169.82147793760808
simple-hierarchical,11,0.75,0.1,0.05,NA,0.4901353860087505,0.13054104428784594,0.05,NA,169.8214779376079
simple-hierarchical,11,0.75,1.0,0.05,NA,0.4901353209444908,0.1305410185098333,0.05,NA,169.82147793761015
simple-hierarchical,12,0.25,0.1,0.05,NA,0.6099070104502337,0.18514243104898315,0.05,NA,227.16251571611326
simple-hierarchical,12,0.25,1.0,0.05,NA,0.8281422723451339,0.20124400969964173,0.05,NA,231.0447140090705
simple-hierarchical,12,0.5,0.1,0.05,NA,0.6099106288469557,0.1851435096433298,0.05,NA,227.16251571214391
simple-hierarchical,12,0.5,1.0,0.05,NA,0.8281421986513108,0.20124400248712215,0.05,NA,231.04471400907093
simple-hierarchical,12,0.75,0.1,0.05,NA,0.6099107751326163,0.1851434917250118,0.05,NA,227.1625157121505
simple-hierarchical,12,0.75,1.0,0.05,NA,0.8281423008655183,0.20124400668100922,0.05,NA,231.0447140090704
hierarchical,1,0.25,0.1,0.05,1.0,0.06628984128586866,0.01826763172286169,0.027777510115684186,1.0,210.26358416916585
hierarchical,1,0.25,1.0,0.05,1.0,0.036258938671403285,0.01,0.02827761253066191,1.0,210.2303513959816
hierarchical,1,0.5,0.1,0.05,1.0,0.03625893848059612,0.01,0.028277588202826342,1.0,210.23035139600537
hierarchical,1,0.5,1.0,0.05,1.0,0.036258938231277064,0.01,0.02827759830113081,1.0,210.23035139599352
hierarchical,1,0.75,0.1,0.05,1.0,0.036258941501737446,0.01,0.028277619034257007,1.0,210.2303513959775
hierarchical,1,0.75,1.0,0.05,1.0,0.05662220460286019,0.015605994153178437,0.027426248370464364,1.0,210.26050695453804
abstract-hierarchical,1,0.25,0.1,0.05,1.0,0.7408085858432694,0.03864983461991363,0.03342301877261326,1.0,163.8972746151538
abstract-hierarchical,1,0.25,1.0,0.05,1.0,1.0,0.01,0.03341901131694475,1.0,163.89727424678543
abstract-hierarchical,1,0.5,0.1,0.05,1.0,0.8090110991229736,0.04177711800669887,0.033419934450659376,1.0,163.89727442744973
abstract-hierarchical,1,0.5,1.0,0.05,1.0,1.0,0.01,0.033418997502522085,1.0,163.89727424679245
abstract-hierarchical,1,0.75,0.1,0.05,1.0,0.8907751516182147,0.04058144306201857,0.033419565347875206,1.0,163.89727427482978
abstract-hierarchical,1,0.75,1.0,0.05,1.0,1.0,0.01,0.033419018636310395,1.0,163.89727424678358
